importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP 9563-10 LUCY 5XL NEGRO;PP-9563-10;Main Workshop;BASE;3;9563-10
;PP 9565-1 ELLIE 2XS NEGRO;PP-9565-1;Main Workshop;BASE;3;9565-1
;PP 9565-2 ELLIE XS NEGRO;PP-9565-2;Main Workshop;BASE;3;9565-2
;PP 9565-3 ELLIE S NEGRO;PP-9565-3;Main Workshop;BASE;3;9565-3
;PP 9565-4 ELLIE M NEGRO;PP-9565-4;Main Workshop;BASE;3;9565-4
;PP 9565-5 ELLIE L NEGRO;PP-9565-5;Main Workshop;BASE;3;9565-5
;PP 9565-6 ELLIE XL NEGRO;PP-9565-6;Main Workshop;BASE;3;9565-6
;PP 9565-7 ELLIE 2XL NEGRO;PP-9565-7;Main Workshop;BASE;3;9565-7
;PP 9565-8 ELLIE 3XL NEGRO;PP-9565-8;Main Workshop;BASE;3;9565-8
;PP 9565-9 ELLIE 4XL NEGRO;PP-9565-9;Main Workshop;BASE;3;9565-9
;PP 9565-10 ELLIE 5XL NEGRO;PP-9565-10;Main Workshop;BASE;3;9565-10
;PP 9565-11 ELLIE 2XS BEIGE;PP-9565-11;Main Workshop;BASE;3;9565-11
;PP 9565-12 ELLIE XS BEIGE;PP-9565-12;Main Workshop;BASE;3;9565-12
;PP 9565-13 ELLIE S BEIGE;PP-9565-13;Main Workshop;BASE;3;9565-13
;PP 9565-14 ELLIE M BEIGE;PP-9565-14;Main Workshop;BASE;3;9565-14
;PP 9565-15 ELLIE L BEIGE;PP-9565-15;Main Workshop;BASE;3;9565-15
;PP 9565-16 ELLIE XL BEIGE;PP-9565-16;Main Workshop;BASE;3;9565-16
;PP 9565-17 ELLIE 2XL BEIGE;PP-9565-17;Main Workshop;BASE;3;9565-17
;PP 9565-18 ELLIE 3XL BEIGE;PP-9565-18;Main Workshop;BASE;3;9565-18
;PP 9565-19 ELLIE 4XL BEIGE;PP-9565-19;Main Workshop;BASE;3;9565-19
;PP 9565-20 ELLIE 5XL BEIGE;PP-9565-20;Main Workshop;BASE;3;9565-20
;PP 1518-1 SHORT ESPAÑA 2XS NEGRO;PP-1518-1;Main Workshop;BASE;3;1518-1
;PP 1518-2 SHORT ESPAÑA XS NEGRO;PP-1518-2;Main Workshop;BASE;3;1518-2
;PP 1518-3 SHORT ESPAÑA S NEGRO;PP-1518-3;Main Workshop;BASE;3;1518-3
;PP 1518-4 SHORT ESPAÑA M NEGRO;PP-1518-4;Main Workshop;BASE;3;1518-4
;PP 1518-5 SHORT ESPAÑA L NEGRO;PP-1518-5;Main Workshop;BASE;3;1518-5
;PP 1518-6 SHORT ESPAÑA XL NEGRO;PP-1518-6;Main Workshop;BASE;3;1518-6
;PP 1518-7 SHORT ESPAÑA 2XL NEGRO;PP-1518-7;Main Workshop;BASE;3;1518-7
;PP 1518-8 SHORT ESPAÑA 3XL NEGRO;PP-1518-8;Main Workshop;BASE;3;1518-8
;PP 1518-9 SHORT ESPAÑA 4XL NEGRO;PP-1518-9;Main Workshop;BASE;3;1518-9
;PP 1518-10 SHORT ESPAÑA 5XL NEGRO;PP-1518-10;Main Workshop;BASE;3;1518-10
;PP 1518-11 SHORT ESPAÑA 2XS BEIGE;PP-1518-11;Main Workshop;BASE;3;1518-11
;PP 1518-12 SHORT ESPAÑA XS BEIGE;PP-1518-12;Main Workshop;BASE;3;1518-12
;PP 1518-13 SHORT ESPAÑA S BEIGE;PP-1518-13;Main Workshop;BASE;3;1518-13
;PP 1518-14 SHORT ESPAÑA M BEIGE;PP-1518-14;Main Workshop;BASE;3;1518-14
;PP 1518-15 SHORT ESPAÑA L BEIGE;PP-1518-15;Main Workshop;BASE;3;1518-15
;PP 1518-16 SHORT ESPAÑA XL BEIGE;PP-1518-16;Main Workshop;BASE;3;1518-16
;PP 1518-17 SHORT ESPAÑA 2XL BEIGE;PP-1518-17;Main Workshop;BASE;3;1518-17
;PP 1518-18 SHORT ESPAÑA 3XL BEIGE;PP-1518-18;Main Workshop;BASE;3;1518-18
;PP 1518-19 SHORT ESPAÑA 4XL BEIGE;PP-1518-19;Main Workshop;BASE;3;1518-19
;PP 1518-20 SHORT ESPAÑA 5XL BEIGE;PP-1518-20;Main Workshop;BASE;3;1518-20
;PP 1518-21 SHORT ESPAÑA ALTO 2XS NEGRO;PP-1518-21;Main Workshop;BASE;3;1518-21
;PP 1518-22 SHORT ESPAÑA ALTO XS NEGRO;PP-1518-22;Main Workshop;BASE;3;1518-22
;PP 1518-23 SHORT ESPAÑA ALTO S NEGRO;PP-1518-23;Main Workshop;BASE;3;1518-23
;PP 1518-24 SHORT ESPAÑA ALTO M NEGRO;PP-1518-24;Main Workshop;BASE;3;1518-24
;PP 1518-25 SHORT ESPAÑA ALTO L NEGRO;PP-1518-25;Main Workshop;BASE;3;1518-25
;PP 1518-26 SHORT ESPAÑA ALTO XL NEGRO;PP-1518-26;Main Workshop;BASE;3;1518-26
;PP 1518-27 SHORT ESPAÑA ALTO 2XL NEGRO;PP-1518-27;Main Workshop;BASE;3;1518-27
;PP 1518-28 SHORT ESPAÑA ALTO 3XL NEGRO;PP-1518-28;Main Workshop;BASE;3;1518-28
;PP 1518-29 SHORT ESPAÑA ALTO 4XL NEGRO;PP-1518-29;Main Workshop;BASE;3;1518-29
;PP 1518-30 SHORT ESPAÑA ALTO 5XL NEGRO;PP-1518-30;Main Workshop;BASE;3;1518-30
;PP 1572-1 KANI 2XS NEGRO;PP-1572-1;Main Workshop;BASE;3;1572-1
;PP 1572-2 KANI XS NEGRO;PP-1572-2;Main Workshop;BASE;3;1572-2
;PP 1572-3 KANI S NEGRO;PP-1572-3;Main Workshop;BASE;3;1572-3
;PP 1572-4 KANI M NEGRO;PP-1572-4;Main Workshop;BASE;3;1572-4
;PP 1572-5 KANI L NEGRO;PP-1572-5;Main Workshop;BASE;3;1572-5
;PP 1572-6 KANI XL NEGRO;PP-1572-6;Main Workshop;BASE;3;1572-6
;PP 1572-7 KANI 2XL NEGRO;PP-1572-7;Main Workshop;BASE;3;1572-7
;PP 1572-8 KANI 3XL NEGRO;PP-1572-8;Main Workshop;BASE;3;1572-8
;PP 1572-9 KANI 4XL NEGRO;PP-1572-9;Main Workshop;BASE;3;1572-9
;PP 1572-10 KANI 5XL NEGRO;PP-1572-10;Main Workshop;BASE;3;1572-10
;PP 1572-11 KANI 2XS BEIGE;PP-1572-11;Main Workshop;BASE;3;1572-11
;PP 1572-12 KANI XS BEIGE;PP-1572-12;Main Workshop;BASE;3;1572-12
;PP 1572-13 KANI S BEIGE;PP-1572-13;Main Workshop;BASE;3;1572-13
;PP 1572-14 KANI M BEIGE;PP-1572-14;Main Workshop;BASE;3;1572-14
;PP 1572-15 KANI L BEIGE;PP-1572-15;Main Workshop;BASE;3;1572-15
;PP 1572-16 KANI XL BEIGE;PP-1572-16;Main Workshop;BASE;3;1572-16
;PP 1572-17 KANI 2XL BEIGE;PP-1572-17;Main Workshop;BASE;3;1572-17
;PP 1572-18 KANI 3XL BEIGE;PP-1572-18;Main Workshop;BASE;3;1572-18
;PP 1572-19 KANI 4XL BEIGE;PP-1572-19;Main Workshop;BASE;3;1572-19
;PP 1572-20 KANI 5XL BEIGE;PP-1572-20;Main Workshop;BASE;3;1572-20
;PP 1024B-1 EXCELENCIA CIERRE 2XS NEGRO;PP-1024B-1;Main Workshop;BASE;3;1024B-1
;PP 1024B-2 EXCELENCIA CIERRE XS NEGRO;PP-1024B-2;Main Workshop;BASE;3;1024B-2
;PP 1024B-3 EXCELENCIA CIERRE S NEGRO;PP-1024B-3;Main Workshop;BASE;3;1024B-3
;PP 1024B-4 EXCELENCIA CIERRE M NEGRO;PP-1024B-4;Main Workshop;BASE;3;1024B-4
;PP 1024B-5 EXCELENCIA CIERRE L NEGRO;PP-1024B-5;Main Workshop;BASE;3;1024B-5
;PP 1024B-6 EXCELENCIA CIERRE XL NEGRO;PP-1024B-6;Main Workshop;BASE;3;1024B-6
;PP 1024B-7 EXCELENCIA CIERRE 2XL NEGRO;PP-1024B-7;Main Workshop;BASE;3;1024B-7
;PP 1024B-8 EXCELENCIA CIERRE 3XL NEGRO;PP-1024B-8;Main Workshop;BASE;3;1024B-8
;PP 1024B-9 EXCELENCIA CIERRE 4XL NEGRO;PP-1024B-9;Main Workshop;BASE;3;1024B-9
;PP 1024B-10 EXCELENCIA CIERRE 5XL NEGRO;PP-1024B-10;Main Workshop;BASE;3;1024B-10
;PP 1603-1 JACKY 2XS BEIGE;PP-1603-1;Main Workshop;BASE;3;1603-1
;PP 1603-2 JACKY XS BEIGE;PP-1603-2;Main Workshop;BASE;3;1603-2
;PP 1603-3 JACKY S BEIGE;PP-1603-3;Main Workshop;BASE;3;1603-3
;PP 1603-4 JACKY M BEIGE;PP-1603-4;Main Workshop;BASE;3;1603-4
